customer_id,name,revenue,age,transactions,revenue_zscore,is_outlier_iqr,revenue_capped,is_outlier
1,Alice,320.5,28,5,0.2276,False,320.5,False
2,Bob,410.0,34,8,0.2193,False,410.0,False
3,Carol,275.25,45,3,0.2318,False,275.25,False
4,Dave,190.75,52,2,0.2396,False,190.75,False
5,Eve,500.0,29,11,0.211,False,500.0,False
6,Frank,355.0,38,6,0.2244,False,355.0,False
7,Grace,430.5,41,9,0.2174,False,430.5,False
8,Henry,285.0,35,4,0.2309,False,285.0,False
9,Ivan,310.0,27,7,0.2286,False,310.0,False
10,Julia,395.0,48,5,0.2207,False,395.0,False
11,Kevin,260.0,31,3,0.2332,False,260.0,False
12,Laura,480.0,44,10,0.2129,False,480.0,False
13,Mike,215.0,36,2,0.2373,False,215.0,False
14,Nancy,375.0,39,8,0.2226,False,375.0,False
15,Oscar,340.0,55,6,0.2258,False,340.0,False
16,Pamela,50000.0,32,5,4.3582,True,607.40625,True
17,Quinn,295.0,150,4,0.2299,False,295.0,False
18,Rachel,420.0,37,7,0.2184,False,420.0,False
19,Steve,-500.0,42,3,0.3033,True,87.65625,True
20,Tina,365.0,43,6,0.2235,False,365.0,False
